Years,Offical Poverty,,,Money Income minus Social Secuirty ,,money Income minus Unemployment,,Money Income Plus SNAP (Food Stamps),,Money Income Plus Federal Earned Income Tax Credit,,Money Income Minus Social Security,,Money Income Minus Social Security,,Money Income Plus SNAP (Food Stamps),,Money Income Plus Federal Earned Income Tax Credit,
,Total,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
2001," 281,475 "," 32,907 ", 11.7 ," 48,380 ", 17.3 ," 32,021 ", 11.5 ," 30,657 ", 11.0 ," 28,011 ", 10.0 ," 17,074 ", 6.1 , 726 , 0.3 ,"-1,152",-0.4,"-3,637",-1.3
2000," 278,944 "," 31,581 ", 11.3 ," 49,345 ", 17.9 ," 33,401 ", 12.1 ," 31,457 ", 11.4 ," 28,945 ", 10.5 ," 16,799 ", 6.0 , 440 , 0.2 ,-924,-0.3,"-3,570",-1.3
1999," 276,208 "," 32,791 ", 11.9 ," 50,438 ", 18.6 ," 35,048 ", 12.9 ," 32,992 ", 12.2 ," 30,027 ", 11.1 ," 16,553 ", 6.0 , 610 , 0.2 ,"-1,335",-0.5,"-3,846",-1.4
1998," 271,059 "," 34,476 ", 12.7 ," 52,281 ", 19.5 ," 36,175 ", 13.5 ," 33,998 ", 12.7 ," 31,684 ", 11.8 ," 15,963 ", 5.9 , 572 , 0.2 ,"-1,484",-0.5,"-4,449",-1.6
1997," 268,480 "," 35,574 ", 13.3 ," 52,969 ", 19.9 ," 37,162 ", 14.0 ," 34,776 ", 13.1 ," 32,695 ", 12.3 ," 16,707 ", 6.2 , 601 , 0.2 ,"-1,576",-0.6,"-3,890",-1.4
1996," 266,218 "," 36,529 ", 13.7 ," 52,841 ", 20.0 ," 37,140 ", 14.1 ," 34,319 ", 13.0 ," 32,883 ", 12.5 ," 16,440 ", 6.2 , 633 , 0.2 ,"-1,754",-0.7,"-3,834",-1.4
1995," 263,733 "," 36,425 ", 13.8 ," 54,542 ", 20.8 ," 38,964 ", 14.9 ," 35,886 ", 13.7 ," 35,296 ", 13.5 ," 16,416 ", 6.2 , 716 , 0.3 ,"-2,106",-0.8,"-3,542",-1.3
1994," 261,616 "," 38,059 ", 14.5 ," 54,979 ", 21.2 ," 40,473 ", 15.6 ," 37,234 ", 14.4 ," 37,657 ", 14.5 ," 16,483 ", 6.3 , 905 , 0.3 ,"-2,174",-0.8,"-2,763",-1.1
1993," 259,278 "," 39,265 ", 15.1 ," 52,964 ", 20.6 ," 39,518 ", 15.4 ," 36,079 ", 14.1 ," 36,207 ", 14.1 ," 15,714 ", 6.1 ," 1,208 ", 0.5 ,"-2,030",-0.8,"-1,608",-0.6
1992," 256,549 "," 38,015 ", 14.8 ," 49,655 ", 19.8 ," 36,714 ", 14.6 ," 33,953 ", 13.5 ," 34,021 ", 13.5 ," 14,949 ", 5.8 ," 1,504 ", 0.6 ,"-1,935",-0.8,"-1,808",-0.7
1991," 251,192 "," 35,708 ", 14.2 ," 46,779 ", 18.8 ," 34,252 ", 13.8 ," 32,189 ", 12.9 ," 32,371 ", 13.0 ," 13,947 ", 5.6 ," 1,006 ", 0.4 ,"-1,754",-0.7,"-1,687",-0.7
1990," 248,644 "," 33,585 ", 13.5 ," 45,208 ", 18.4 ," 32,009 ", 13.0 ," 30,211 ", 12.3 ," 30,312 ", 12.3 ," 13,194 ", 5.3 , 668 , 0.3 ,"-1,395",-0.6,"-1,214",-0.5
1989," 245,992 "," 31,528 ", 12.8 ," 45,396 ", 18.6 ," 32,262 ", 13.2 ," 30,715 ", 12.6 ," 30,738 ", 12.6 ," 13,680 ", 5.6 , 481 , 0.2 ,"-1,317",-0.5,"-1,216",-0.5
1988," 243,530 "," 31,745 ", 13.0 ," 45,318 ", 18.8 ," 32,905 ", 13.7 ," 30,826 ", 12.8 ," 31,392 ", 13.0 ," 13,652 ", 5.6 , 518 , 0.2 ,"-1,030",-0.4,"-1,007",-0.4
1987," 240,982 "," 32,221 ", 13.4 ," 45,931 ", 19.3 ," 34,488 ", 14.5 ," 31,340 ", 13.1 ," 31,964 ", 13.4 ," 13,097 ", 5.4 , 684 , 0.3 ,"-1,395",-0.6,-829,-0.3
1986*," 238,554 "," 32,370 ", 13.6 ," 46,673 ", 19.7 ," 35,295 ", 14.9 ," 31,895 ", 13.5 ," 32,622 ", 13.8 ," 13,561 ", 5.7 ," 2,118 ", 0.9 ,"-1,030",-0.4,-406,-0.2
1985*," 236,594 "," 33,064 ", 14.0 ," 47,224 ", 20.2 ," 35,973 ", 15.4 ," 32,435 ", 13.9 ," 33,258 ", 14.2 ," 13,610 ", 5.8 ," 2,232 ", 0.9 ,"-1,169",-0.5,-441,-0.2
1984*," 233,816 "," 33,701 ", 14.4 ," 48,611 ", 21.0 ," 38,582 ", 16.7 ," 34,038 ", 14.7 ," 34,901 ", 15.1 ," 13,524 ", 5.8 ," 2,273 ", 1.0 ,"-1,266",-0.5,-442,-0.2
1983*," 231,700 "," 35,303 ", 15.2 ," 48,182 ", 21.0 ," 37,485 ", 16.3 ," 32,952 ", 14.4 ," 33,915 ", 14.8 ," 13,308 ", 5.7 ," 3,279 ", 1.4 ,"-1,264",-0.5,-401,-0.2
1982*," 229,412 "," 34,398 ", 15.0 ," 45,850 ", 20.2 ," 34,229 ", 15.1 ," 30,238 ", 13.3 ," 31,170 ", 13.7 ," 13,783 ", 6.0 ," 3,086 ", 1.3 ,"-1,447",-0.6,-483,-0.2
1981*," 227,157 "," 31,822 ", 14.0 ," 45,208 ",,,,,,,," 14,027 ", 6.2 ," 2,407 ", 1.1 ,"-1,584",-0.7,-652,-0.3
