Table with row headings in column A and column headings in rows 4 to 7.,,,,,,,,,,,,,,,,,,,,
Impact on Poverty of Alternative Resource Measures by Age: 1981 to 2013,,,,,,,,,,,,,,,,,,,,
NOTE: Numbers in thousands. People as of March of the following year.,,,,,,,,,,,,,,,,,,,,
Year,Official Poverty,,,Poverty Estimates with Alternative Resource Definitions,,,,,,,,Impact of Alternative Resource Definitions on Poverty,,,,,,,,
,,,,Money Income Minus Social Security,,Money Income Minus Unemployment Insurance Compensation,,Money Income Plus SNAP (Food Stamps),,Money Income Plus Federal Earned Income Tax Credit,,Money Income Minus Social Security,,Money Income Minus Unemployment Insurance Compensation,,Money Income Plus SNAP (Food Stamps),,Money Income Plus Federal Earned Income Tax Credit,,
,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,
,Total,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,
ALL AGES,,,,,,,,,,,,,,,,,,,,
1995," 31,658 "," 3,318 ", 10.5 ," 15,040 ", 47.5 ," 3,329 ", 10.5 ," 3,175 ", 10.0 ," 3,299 ", 10.4 ," 11,722 ", 37.0 , 11 , 0.0 ,-143,-0.5,-19,-0.1,
1994," 31,267 "," 3,663 ", 11.7 ," 15,443 ", 49.4 ," 3,677 ", 11.8 ," 3,486 ", 11.1 ," 3,652 ", 11.7 ," 11,780 ", 37.7 , 14 , 0.0 ,-178,-0.6,-11,0.0,
1993," 30,779 "," 3,755 ", 12.2 ," 14,746 ", 47.9 ," 3,776 ", 12.3 ," 3,629 ", 11.8 ," 3,744 ", 12.2 ," 10,992 ", 35.7 , 21 , 0.1 ,-126,-0.4,-11,0.0,
1992," 30,430 "," 3,928 ", 12.9 ," 14,457 ", 47.5 ," 3,954 ", 13.0 ," 3,784 ", 12.4 ," 3,911 ", 12.9 ," 10,529 ", 34.6 , 25 , 0.1 ,-144,-0.5,-17,-0.1,
1991," 30,590 "," 3,781 ", 12.4 ," 13,835 ", 45.2 ," 3,795 ", 12.4 ," 3,603 ", 11.8 ," 3,771 ", 12.3 ," 10,055 ", 32.9 , 14 , 0.0 ,-178,-0.6,-10,0.0,
1990," 30,093 "," 3,658 ", 12.2 ," 13,212 ", 43.9 ," 3,671 ", 12.2 ," 3,548 ", 11.8 ," 3,654 ", 12.1 ," 9,554 ", 31.7 , 14 , 0.0 ,-109,-0.4,-4,0.0,
1989," 29,566 "," 3,363 ", 11.4 ," 13,270 ", 44.9 ," 3,371 ", 11.4 ," 3,232 ", 10.9 ," 3,360 ", 11.4 ," 9,907 ", 33.5 , 7 , 0.0 ,-132,-0.4,-3,0.0,
1988," 29,022 "," 3,481 ", 12.0 ," 13,143 ", 45.3 ," 3,481 ", 12.0 ," 3,368 ", 11.6 ," 3,477 ", 12.0 ," 9,662 ", 33.3 , 0 , 0.0 ,-113,-0.4,-4,0.0,
1987," 28,487 "," 3,563 ", 12.5 ," 12,882 ", 45.2 ," 3,583 ", 12.6 ," 3,432 ", 12.0 ," 3,549 ", 12.5 ," 9,319 ", 32.7 , 20 , 0.1 ,-132,-0.5,-14,0.0,
1986*," 27,975 "," 3,477 ", 12.4 ," 13,148 ", 47.0 ," 3,758 ", 13.4 ," 3,384 ", 12.1 ," 3,475 ", 12.4 ," 9,671 ", 34.6 , 281 , 1.0 ,-93,-0.3,-2,0.0,
